thread_ID, Id, ParentId, PostType, Score, CreationDate, OwnerID, Body
54785014,54785014,null,1,0,Wed Feb 20 11:15:00 EST 2019,11089548,"<p>I'm unable to update bulk enrollments using <code>RunBulkEnrollmentOperationAsync</code> method</p>		<pre><code>BulkEnrollmentOperationResult result = await provServiceClient.RunBulkEnrollmentOperationAsync(BulkOperationMode.Update, enrollmentList);	</code></pre>		<p>here getting </p>		<blockquote>	  <p>"Exception of type 'Microsoft.Azure.Devices.Registration.Thrift.ProvisioningServiceException' was thrown."  </p>	</blockquote>		<p>in <code>BulkEnrollmentOperationResult</code>  result</p>		<p>any help would be appreciated...</p>		<p>thanks in advance...</p>	"
54785014,96348855,54785014,3,0,Wed Feb 20 11:25:00 EST 2019,913824,"Can you please add the code within code blocks? Then it would be better readable. 		It also helps if you add what you are trying to accomplish."
