thread_ID, Id, ParentId, PostType, Score, CreationDate, OwnerID, Body
42067986,42067986,null,1,1,Mon Feb 06 12:36:00 EST 2017,5502164,"<p>I am currently trying to send information to Azure Event Hub with <a href="https://www.npmjs.com/package/amqp10" rel="nofollow noreferrer">AMQP1.0</a> client for node.js.	I need to authenticate through SAStoken.</p>		<p>I cannot use SASkey and SASKeyName that would look like this:</p>		<pre class="lang-js prettyprint-override"><code>var uri = protocol + '://' + encodeURIComponent(sasName) + ':' + encodeURIComponent(sasKey) + '@' + serviceBusHost;	</code></pre>		<p>Does anyone know how can I configure amqp10 or any other library to authenticate through SAStoken?</p>	"
42067986,42095929,42067986,2,1,Tue Feb 07 17:11:00 EST 2017,4689483,"<p>In case you are interested, there is a Node.js library for Event Hubs. <a href="https://github.com/Azure/azure-event-hubs-node" rel="nofollow noreferrer">https://github.com/Azure/azure-event-hubs-node</a></p>		<p>That library makes a call to a referenced IoT library:</p>		<p><a href="https://github.com/Azure/azure-event-hubs-node/blob/master/send_receive/lib/config.js#L18" rel="nofollow noreferrer">https://github.com/Azure/azure-event-hubs-node/blob/master/send_receive/lib/config.js#L18</a></p>		<p>Which is shown here:</p>		<p><a href="https://github.com/Azure/azure-iot-sdk-node/blob/master/common/core/lib/shared_access_signature.js#L42" rel="nofollow noreferrer">https://github.com/Azure/azure-iot-sdk-node/blob/master/common/core/lib/shared_access_signature.js#L42</a></p>	"
