thread_ID, Id, ParentId, PostType, Score, CreationDate, OwnerID, Body
55541230,55541230,null,1,0,Fri Apr 05 18:14:00 EDT 2019,3938858,"<p>I tried to create destinations for IoT application enablement in SAP full stack web IDE by choosing Tools-> Update IoT Destinations and enter credentials from service binding of SAP Leonardo Service as in the <a href="https://help.sap.com/viewer/195126f4601945cba0886cbbcbf3d364/1903a/en-US/ecfc168953ea4fb0ad123f70cc399744.html" rel="nofollow noreferrer">help portal</a> .After entering the credentials and clicking Update, an authentication popup is appeared to enter SAP Cloud Platform Neo environment credentials. But the authentication failed with no error messages when entering the correct credentials as in the figure. I also assigned correct roles for web ide in SCP cockpit.</p>		<p><a href="https://i.stack.imgur.com/yizvv.png" rel="nofollow noreferrer"><img src="https://i.stack.imgur.com/yizvv.png" alt="enter image description here"></a></p>	"
55541230,98217453,55541230,3,1,Sat Apr 20 09:55:00 EDT 2019,911419,"If you are using trial account, try to change you pass and login again. I had the same issues, it seems account there has some validity period and can be invalidated unexpectedly"
55541230,99353601,55541230,3,0,Thu May 30 10:25:00 EDT 2019,3938858,"The subaccounts NEO and CF using for the configuration should be under the same global account."
