thread_ID, Id, ParentId, PostType, Score, CreationDate, OwnerID, Body
43216413,43216413,null,1,1,Tue Apr 04 19:49:00 EDT 2017,3389497,"<p>I'm new to AWS IOT and have a use case where I have two groups of AWS IOT buttons that I would like to have a rule fired for.  </p>		<p>I know that I can fire a rule for all buttons with the query statement:</p>		<pre><code>    SELECT * FROM 'iotbutton/#'	</code></pre>		<p>I know that I can fire a rule for one button with the query statment:</p>		<pre><code>    SELECT * FROM 'iotbutton/G030MD023024ABCD'      	</code></pre>		<p>What I am looking to be able to do is fire a rule for the two different groups of buttons or possibly Thing Types.  Something possibly like this, but I'm not sure how to set this up.</p>		<pre><code>    SELECT * FROM 'iotbutton/groupA/#'   or    SELECT * FROM 'iotbutton/groupB/#'	</code></pre>		<p><a href="https://i.stack.imgur.com/fHqhl.jpg" rel="nofollow noreferrer"><img src="https://i.stack.imgur.com/fHqhl.jpg" alt="enter image description here"></a></p>	"
43216413,77084597,43216413,3,0,Wed Jul 12 10:56:00 EDT 2017,1175633,"Could you tell us a bit more about your use-case, particularly, who is listening on those topics ?"
