thread_ID, Id, ParentId, PostType, Score, CreationDate, OwnerID, Body
36734299,36734299,null,1,0,Wed Apr 20 05:07:00 EDT 2016,5863592,"<p>Can I write a <strong>kura</strong> program that uses in <strong>kaa</strong>? </p>		<p>I want to use <strong>kura</strong> and <strong>kaa</strong> together in a project.</p>		<p>can i do that?</p>	"
36734299,36745551,36734299,2,1,Wed Apr 20 13:34:00 EDT 2016,5029050,"<p>Unfortunately, no one has attempted to use Kaa+Kura that I know of. You would have to supply more information on what it is you are trying to do. Also, it may be worth while asking the Kaa community if Kaa works well in a Java/OSGi environment.</p>		<p>Thanks,</p>		<p>--Dave</p>	"
36734299,41270410,36734299,2,1,Wed Dec 21 19:21:00 EST 2016,3021281,"<p>I've tried to use Kaa in a Kura bundle and it did work. 	Just import the SDK jar into your kura project, and </p>		<p>In active(), you initialize Kaa and call </p>		<pre><code>kaaClient.start();	</code></pre>		<p>In deactivate(), </p>		<pre><code>kaaClient.stop()	</code></pre>	"
