thread_ID, Id, ParentId, PostType, Score, CreationDate, OwnerID, Body
40870039,40870039,null,1,0,Tue Nov 29 15:48:00 EST 2016,4694069,"<p>Does anybody knows IoT devices uses grpc to transfer with encrypted data or plaintext? I heard somebody says if there are massive IoT devices it would uses plaintext to transfer data. Is that true?</p>	"
40870039,40885625,40870039,2,2,Wed Nov 30 10:14:00 EST 2016,1870387,"<p>For IoT, always encrypt your data. By default, use TLS. </p>		<p>There are devices using plain text. They do it to save device hardware costs and compromise at security. Typical devices include tracking/GPS devices. Security-aware companies refuse to use these devices.</p>		<p>GRPC is to my knowledge not widely used in the context to IoT remote connections.  </p>	"
