thread_ID, Id, ParentId, PostType, Score, CreationDate, OwnerID, Body
55539003,55539003,null,1,0,Fri Apr 05 15:38:00 EDT 2019,3938858,"<p>I created the IOT Application Enablement destination "ConfigurationAPI" as in <a href="https://help.sap.com/viewer/195126f4601945cba0886cbbcbf3d364/1903a/en-US/ecfc168953ea4fb0ad123f70cc399744.html" rel="nofollow noreferrer">Help portal</a>.</p>		<p>I performed all the configurations until this step. The configuration I set is as follows	<a href="https://i.stack.imgur.com/NCHtP.png" rel="nofollow noreferrer"><img src="https://i.stack.imgur.com/NCHtP.png" alt="enter image description here"></a></p>		<p>After checking the connection I am getting 404 not found error as</p>		<p><a href="https://i.stack.imgur.com/wvH9L.png" rel="nofollow noreferrer"><img src="https://i.stack.imgur.com/wvH9L.png" alt="enter image description here"></a></p>		<p>Any thoughts about this issue or any possible resolving steps?</p>	"
55539003,55571915,55539003,2,0,Mon Apr 08 11:00:00 EDT 2019,3938858,"<p>The subaccounts NEO and CF using for the configuration should be under the same global account.</p>	"
55539003,55653567,55539003,2,1,Fri Apr 12 14:10:00 EDT 2019,11352066,"<p>The "check connection" is not really checking the connection end to end. Please don't let this distract you and carry on with the instructions.</p>	"
