thread_ID, Id, ParentId, PostType, Score, CreationDate, OwnerID, Body
30918832,30918832,null,1,1,Thu Jun 18 14:54:00 EDT 2015,43337,"<p>I am building a Windows Core IOT background task application on a Raspberry Pi, and I need to store some text resource files (html,css,js) to serve over a tcp socket connection.</p>		<p>Trouble is I am struggling to find the simplest way to have a folder of these files as embedded resources which I can access from the webserver I have built.</p>		<p>Any suggestions would be good.</p>		<p>I do not seem to have access to the Properties namespace.</p>	"
30918832,36308528,30918832,2,0,Wed Mar 30 12:12:00 EDT 2016,2482264,"<p>include the files into your project and access them with the InstalledLocation Folder.</p>		<p>If, for example, you have a folder named 'html' in your project structure, access the files like this:</p>		<pre><code>async void ExampleFunc()	{	    // get the StorageFolder	    var WebRoot = await Package.Current.InstalledLocation.GetFolderAsync("html");	    // load the file (StorageFile)	    var file = await WebRoot.GetFileAsync("index.html");	}	</code></pre>	"
