thread_ID, Id, ParentId, PostType, Score, CreationDate, OwnerID, Body
31718193,31718193,null,1,0,Thu Jul 30 07:58:00 EDT 2015,2195272,"<p>I'm trying to add a wcf service in an application for Windows Iot (Raspberry Pi) using Visual Studio 2015.</p>		<p>Because i can't add a reference 'on the usual way' (VS 2015 is not showing any), i added a nuget reference to System.ServiceModel.</p>		<pre><code>        using (var host = new System.ServiceModel.ServiceHost (typeof(HelloWorldService), _baseAddress))	        {		        }	</code></pre>		<p>How can i reach the ServiceHost? Resharper doesn't help me neither</p>		<p><a href="https://i.stack.imgur.com/66JcQ.jpg" rel="nofollow noreferrer"><img src="https://i.stack.imgur.com/66JcQ.jpg" alt="Nuget package list &amp; Reference Manager"></a></p>	"
31718193,31745584,31718193,2,0,Fri Jul 31 11:54:00 EDT 2015,2195272,"<p>Ok, i just found out that Windows iot doesn't support WCF (yet).</p>	"
