thread_ID, Id, ParentId, PostType, Score, CreationDate, OwnerID, Body
53238391,53238391,null,1,0,Sat Nov 10 11:15:00 EST 2018,10510358,"<p>I am connecting rfid reader to Android phone using otg, when connected it automatically starts disconnecting itself and connects again showing toast message as (media device disconnected).</p>		<p>What is the solution?</p>	"
53238391,93393229,53238391,3,0,Sun Nov 11 23:41:00 EST 2018,10598671,"Maybe a physical connection issue? It's either that or the driver your Android uses is not compatible with the RFID reader you're using..."
