thread_ID, Id, ParentId, PostType, Score, CreationDate, OwnerID, Body
34908372,34908372,null,1,0,Wed Jan 20 19:06:00 EST 2016,2585080,"<p>I have Windows Core running on a Raspberry PI. How do I create a rest API in a Windows universal app to run on it?  I want to be able send remote commands to the Raspberry PI from a mobile device. I did several search and couldn't find much information. Thanks.</p>	"
34908372,34911416,34908372,2,1,Wed Jan 20 21:57:00 EST 2016,371637,"<p>As noted <a href="https://raspberrypi.stackexchange.com/questions/32380/windows-10-iot-on-rpi2-as-a-small-http-rest-web-api-server">here</a> there's a <a href="https://github.com/tomkuijsten/restup" rel="nofollow noreferrer">Restup</a> open source project for this</p>		<p>and <a href="https://www.nuget.org/packages/Restup/" rel="nofollow noreferrer">NuGet package for it</a></p>		<p>There's also some experimental (ie fun side project) from Damian on the ASP.NET team about hosting DNX (the host process for your ASP.NET Core apps) located <a href="https://github.com/DamianEdwards/PiDnx" rel="nofollow noreferrer">here</a> but that will need some updating to the latest bits.</p>	"
