thread_ID, Id, ParentId, PostType, Score, CreationDate, OwnerID, Body
34933638,34933638,null,1,1,Thu Jan 21 20:25:00 EST 2016,3264126,"<p>When trying to send a command to an IBM IoT node from an Inject node using the Node-RED flow editor, the following error appears: "Either MQTT Client is not fully initialized (please wait) or non-JSON message has been sent".</p>		<p><strong>Inject Node Configuration</strong>:<br>	Payload: timestamp</p>		<p><strong>IBM IoT Node Configuration</strong>:<br>	Authentication: Bluemix Serivce<br>	Output Type: Device Command<br>	Device Type: <br>	Device Id: <br>	Command Type: test<br>	Format: json<br>	Data: {"testMessage": "testMessage"}<br>	Name: IBM IoT  </p>	"
34933638,34933679,34933638,2,3,Thu Jan 21 20:27:00 EST 2016,3264126,"<p>To get rid of the error, I changed the format from json to JSON (all uppercase)</p>	"
