thread_ID, Id, ParentId, PostType, Score, CreationDate, OwnerID, Body
46185389,46185389,null,1,0,Tue Sep 12 21:12:00 EDT 2017,3874121,"<p>Installing custom fonts (.ttf) to windows 10 ioT device(Raspberry pi 3) . Im working on UWP app that renders the font from <strong>weathericons-regular-webfont.ttf</strong>. Initially I had to install the .ttf file in my computer in order to render these specific fonts.</p>		<p>I had tried adding the .ttf file to my project but when deploying the app im not able to see the app's folder on the IOT device. Even if the .ttf was placed on the app folder i believe it needs to be installed separately.</p>	"
46185389,46187331,46185389,2,1,Wed Sep 13 01:04:00 EDT 2017,3874121,"<p>the way to use custom fonts on UWP apps is to link them properly. Here is the step by step tutorial on how to do so <a href="http://www.blendrocks.com/code-blend/2015/01/04/a-complete-guide-to-working-with-custom-fonts-in-your-windows-and-windows-phone-app" rel="nofollow noreferrer">enter link description here</a></p>	"
