thread_ID, Id, ParentId, PostType, Score, CreationDate, OwnerID, Body
56141019,56141019,null,1,0,Wed May 15 02:32:00 EDT 2019,11393771,"<p>How to start develop Augmented Reality application that can integrate AR with cloud/database using Unity. I want to create an application which can recognize multiple marker and match it with cloud/database stored models. The models can extract from cloud to display in the application.</p>	"
56141019,56174657,56141019,2,0,Thu May 16 18:32:00 EDT 2019,10326190,"<p>have you seen this yet? The guy shows all kinds of things	 <a href="https://www.youtube.com/channel/UClm2DY6pj3ygKoKhEVr7KFw" rel="nofollow noreferrer">https://www.youtube.com/channel/UClm2DY6pj3ygKoKhEVr7KFw</a></p>	"
