thread_ID, Id, ParentId, PostType, Score, CreationDate, OwnerID, Body
50179536,50179536,null,1,1,Fri May 04 16:35:00 EDT 2018,2458771,"<p>I have an azure 50 usd/month subscription. Want to create an IoT hub (The free tier) for this I get the error message: Only one Free IoT hub is allowed per subscription.</p>		<p>If I select the S1 standard tier, even though it is 25USD/month I get the following error message: Paid Iot Hub count would exceed allowed limit of 50 for the selected subscription.</p>		<p>My current credit is 50 usd, and I don't have any resource created.</p>		<p>How can I create an IoT hub in Azure in this circumstances?</p>	"
50179536,50240118,50179536,2,2,Tue May 08 18:28:00 EDT 2018,6174226,"<p>There was a bug which affected the Azure portal for a few hours on Friday. Please try again, it should work now.</p>		<p>Apologies for the inconvenience.</p>	"
