thread_ID, Id, ParentId, PostType, Score, CreationDate, OwnerID, Body
37157446,37157446,null,1,0,Wed May 11 08:47:00 EDT 2016,4293609,"<ol>	<li>Is there recommendation concerning the deployment of lwm2m server, should it be in the cloud or on a local gateway?</li>	<li><p>Can a lwm2M server be deployed on a constraint device, a Raspberry pi for example?	if yes is there an existing implementation for it?</p>		<p>I found the following implementation but I dont know if I can try them on RPi:</p>		<ul>	<li><a href="https://github.com/eclipse/leshan" rel="nofollow">leshan</a></li>	<li><a href="https://github.com/eclipse/wakaama" rel="nofollow">wakaama</a></li>	</ul></li>	</ol>	"
37157446,37389555,37157446,2,1,Mon May 23 11:16:00 EDT 2016,660374,"<p>Both Wakaama and Leshan should work on a Raspberry</p>	"
