thread_ID, Id, ParentId, PostType, Score, CreationDate, OwnerID, Body
32640643,32640643,null,1,2,Thu Sep 17 22:00:00 EDT 2015,3102968,"<p>I have been working on a IoT project for a couple of months now and I was exploring on the Software stack that goes into a device that can connect with industrial sensors and hardwares. I came across Google's Project Brillo and I was looking for answers on what it actually is.</p>		<p>Is it just the OS? What is the Weave protocol that Brillo is supposed to use? Any thoughts?</p>	"
32640643,53130103,32640643,3,2,Thu Sep 17 22:09:00 EDT 2015,671543,"interesting topic, but way too broad for here."
32640643,54262701,32640643,3,1,Tue Oct 20 06:19:00 EDT 2015,483658,"You might want to check the Google Developers page for [Project Brillo](https://developers.google.com/brillo/?hl=en). It lays it out pretty well."
32640643,58202030,32640643,3,0,Sat Feb 06 17:27:00 EST 2016,1501285,"You might find this article worthwhile: https://medium.com/@bobvanluijt/google-s-answer-to-the-internet-of-things-ebd11b37f2ad"
32640643,33230069,32640643,2,1,Tue Oct 20 07:03:00 EDT 2015,472270,"<p>As announced, Brillo preview will be available in 3rd quarter of 2015, Weave protocol spec will be revealed some time in 2016.</p>		<p>So at the moment no any official info. There are some rumours that Brillo OS will be based on top of proprietory OS developed for <a href="https://nest.com/" rel="nofollow">Nest project</a>.</p>		<p>Weave protocol will compete with LoraWAN protocol (or adopt?) developed by <a href="https://www.lora-alliance.org/" rel="nofollow">Lora Alliance</a>.</p>		<p>Anyway, we will see in a near future.</p>	"
