thread_ID, Id, ParentId, PostType, Score, CreationDate, OwnerID, Body
35458945,35458945,null,1,0,Wed Feb 17 14:08:00 EST 2016,679337,"<p>I have a sensorTag device and I want to start using it without implementing the bluetooth connectivity layer, what is the easiest way to use it in swift?</p>	"
35458945,35458946,35458945,2,1,Wed Feb 17 14:08:00 EST 2016,679337,"<p>The easiest way to connect to sensorTag (and other devices) in swift is to use	the IBM Mobile Wearables SDK</p>		<p>you can read about it here:	<a href="http://wearables.mybluemix.net/" rel="nofollow">http://wearables.mybluemix.net/</a></p>		<p>and get it for free here:	<a href="https://github.com/ibm-wearables-sdk-for-mobile/ibm-wearables-swift-sdk" rel="nofollow">https://github.com/ibm-wearables-sdk-for-mobile/ibm-wearables-swift-sdk</a></p>	"
