thread_ID, Id, ParentId, PostType, Score, CreationDate, OwnerID, Body
56227892,56227892,null,1,1,Mon May 20 20:39:00 EDT 2019,959745,"<p>I have some IoT Devices on Google Cloud. They have private/public key pairs for authentication with the IoT Device Registry. I would like them to be able to access other authenticated cloud services, like Cloud Storage. Is there a way to leverage the unique device identity that I use to connect to the IoT Device registry to access other services? If so, how? Thanks!</p>	"
56227892,56265852,56227892,2,0,Wed May 22 22:37:00 EDT 2019,3534690,"<p>Not how you're meaning it, no. The device ID in Cloud IoT Core and the authentication there doesn't relate to the rest of the Cloud services, it's only relevant to the SSL handshake between device and IoT Core.</p>		<p>To access other services, you need to use a <a href="https://cloud.google.com/iam/docs/understanding-service-accounts" rel="nofollow noreferrer">service account</a>.</p>	"
