thread_ID, Id, ParentId, PostType, Score, CreationDate, OwnerID, Body
43101415,43101415,null,1,1,Wed Mar 29 18:31:00 EDT 2017,2784087,"<p>I am creating the new device from the documentation provided in this link (<a href="https://github.com/wso2/carbon-device-mgt-maven-plugin.git" rel="nofollow noreferrer">https://github.com/wso2/carbon-device-mgt-maven-plugin.git</a>). </p>		<p>I performed the following  steps </p>		<p>Step 1: Installing the Maven Archetype. Everything went okay! The maven archtype installed was     </p>		<pre><code>git clone -b v1.0.0 --single-branch https://github.com/wso2/carbon-device-mgt-maven-plugin.git	</code></pre>		<p>In Step 2: Creating a new device type, when I perform the command <code>mvn archetype: generate -DarchetypeCatalog = local</code>. The output does not show me the archetype for me to choose. Look at the output of this command:</p>		<pre><code>C:\Users\eliazar.carvalho\Documents\Tools\WSO2\wso2iot-3.0.0\samples&gt;mvn archetype:generate -DarchetypeCatalog=local	[INFO] Scanning for projects...	[INFO]	[INFO] ---------------------------------------------------------------------    ---	[INFO] Building Maven Stub Project (No POM) 1	[INFO] ------------------------------------------------------------------------	[INFO]	[INFO] &gt;&gt;&gt; maven-archetype-plugin:3.0.0:generate (default-cli) &gt; generate-sources @ standalone-pom &gt;&gt;&gt;	[INFO]	[INFO] &lt;&lt;&lt; maven-archetype-plugin:3.0.0:generate (default-cli) &lt; generate-sources @ standalone-pom &lt;&lt;&lt;	[INFO]	[INFO] --- maven-archetype-plugin:3.0.0:generate (default-cli) @ standalone-pom ---	[INFO] Generating project in Interactive mode	[INFO] No archetype defined. Using maven-archetype-quickstart (org.apache.maven.archetypes:maven-archetype-quickstart:1.0)	Choose archetype:	Your filter doesn't match any archetype (hint: enter to return to initial list)	Choose a number or apply filter (format: [groupId:]artifactId, case sensitive contains): :	</code></pre>		<p>What could be going wrong?</p>		<p>I am using WSO2 IoT Server 3.0	and OS: Ubuntu 14.04 LTS</p>	"
43101415,43108651,43101415,2,2,Thu Mar 30 04:34:00 EDT 2017,1560536,"<p>I also faced the same issue. This is how I fixed it.</p>		<pre><code>mvn archetype:generate -DarchetypeCatalog=local -X	</code></pre>		<p>Will give you the exact local catalog file path it is being read. For me it was <code>~/.m2/repository/archetype-catalog.xml</code>.</p>		<p>But actualy my local repo catalog file is on <code>~/.m2/archetype-catalog.xml</code>. So I copied <code>archetype-catalog.xml</code> into the correct path with following command.</p>		<pre><code>cp ~/.m2/archetype-catalog.xml ~/.m2/repository/	</code></pre>		<p>Now it works fine. It seems we need to update maven-archetype-plugin version in mentioned repository.</p>	"
43101415,73333862,43108651,3,0,Thu Mar 30 20:16:00 EDT 2017,2784087,"Thank you! It worked.	But I realized that only one archetype is made available, unlike the documentation that lists 4 different archetypes.		Archetypes made available to me	1: location -> org.wso2.cdmf.devicetype: cdmf-devicetype-archetype (WSO2 CDMF Device Type Archetype)		Could you tell me why?"
43101415,73425116,43108651,3,0,Mon Apr 03 02:24:00 EDT 2017,1560536,"That's because you don't have built those repos thus local catalog will not contain those archetypes. BTW for generating a new device type we are only interested in org.wso2.cdmf.devicetype: cdmf-devicetype-archetype archetype."
43101415,45706501,43101415,2,1,Wed Aug 16 06:30:00 EDT 2017,8465139,"<p>WSO2 IoT 3.1.0 is released and it includes 3 ways of introducing a new device type.</p>		<ol>	<li><a href="https://docs.wso2.com/display/IoTS310/Writing+Device+Plugins+via+Java+Code" rel="nofollow noreferrer">Writing Java Extension using maven archetype</a> </li>	<li><a href="https://docs.wso2.com/display/IoTS310/Writing+Device+Type+via+the+Template" rel="nofollow noreferrer">Descriptor based model</a> </li>	<li><a href="https://docs.wso2.com/display/IoTS310/Creating+a+New+Device+Type+via+APIs" rel="nofollow noreferrer">API based model</a></li>	</ol>		<p>Please refer more information <a href="https://docs.wso2.com/display/IoTS310/Writing+Device+Types" rel="nofollow noreferrer">here</a></p>	"
43101415,78370953,45706501,3,0,Wed Aug 16 06:31:00 EDT 2017,8465139,"Please refer following documentation for more information. http://wso2.com/library/articles/2017/07/an-introduction-to-wso2-iot-architecture/"
43101415,78370977,45706501,3,0,Wed Aug 16 06:32:00 EDT 2017,8465139,"1. Writing Java Extension using maven archetype -	 https://docs.wso2.com/display/IoTS310/Writing+Device+Plugins+via+Java+Code"
43101415,78371024,45706501,3,0,Wed Aug 16 06:33:00 EDT 2017,8465139,"2. Descriptor based model - https://docs.wso2.com/display/IoTS310/Writing+Device+Type+via+the+Template"
43101415,78371426,45706501,3,0,Wed Aug 16 06:46:00 EDT 2017,8465139,"3. API based model - https://docs.wso2.com/display/IoTS310/Creating+a+New+Device+Type+via+APIs	https://docs.wso2.com/display/IoTS310/Creating+a+New+Device+Type+via+the+Device+Management+Console"
43101415,78371782,45706501,3,0,Wed Aug 16 06:56:00 EDT 2017,5068056,"Please update your answer and write references in it."
