thread_ID, Id, ParentId, PostType, Score, CreationDate, OwnerID, Body
38608789,38608789,null,1,2,Wed Jul 27 09:19:00 EDT 2016,6282053,"<p>We use the Transient Fault Handling Application Block to handle transient faults during Azure cloud-to-device communication. Therefore we define our own detection strategy which implements <code>ITransientErrorDetectionStrategy</code>, but don't know which exceptions can occur and which ones are transient.</p>		<p>The Enterprise Library defines some strategies, e.g. <code>CacheTransientErrorDetectionStrategy</code> or <code>SqlDatabaseTransientErrorDetectionStrategy</code>. </p>		<p>My questions: </p>		<ul>	<li>Does a predefined detection strategy for the communication with IoTHub via AMQP exist?</li>	<li>If not - which exceptions can occur and which ones are transient?</li>	</ul>	"
38608789,65556139,38608789,3,0,Tue Aug 23 14:59:00 EDT 2016,1148048,"I am looking to implement transient fault handling for device-to-cloud IoT Hub communication.  Did you find any more detail on extending the error detection strategy to detect transient faults?"
