thread_ID, Id, ParentId, PostType, Score, CreationDate, OwnerID, Body
55226158,55226158,null,1,0,Mon Mar 18 16:42:00 EDT 2019,11147735,"<p>I have installed Balena OS in my linux system and flashed the image to memory of RaspberryPi. Connected the device to another monitor. Then in Balena dashboard I can see everything working fine except the "Active Status" of device.</p>		<p>The device is not being connected to Dashboard of Balena. And with the device ID I have created in Application of Balena in Raspberry monitor with Balena OS it is asking for login and password. Whatever credentials of account I have given its showing login incorrect.</p>		<blockquote>	  <p>Error:efb4de login:wlan0:link is not ready<br>	       [ 681.580131]brcmfmac:power management diasabled</p>	</blockquote>		<p>The above one is seen in monitor of RPi3</p>		<p>The below are the links I have followed for Installing Balena CLI and Balena OS:</p>		<p>[<a href="https://www.balena.io/os/docs/raspberrypi3/getting-started/][1]" rel="nofollow noreferrer">https://www.balena.io/os/docs/raspberrypi3/getting-started/][1]</a>	[<a href="https://www.balena.io/docs/learn/getting-started/raspberrypi3/python][1]/" rel="nofollow noreferrer">https://www.balena.io/docs/learn/getting-started/raspberrypi3/python][1]/</a></p>	"
55226158,97194468,55226158,3,0,Mon Mar 18 21:03:00 EDT 2019,4142266,"Some spelling and punctuation, formatted quoted message"
