thread_ID, Id, ParentId, PostType, Score, CreationDate, OwnerID, Body
35439264,35439264,null,1,1,Tue Feb 16 17:33:00 EST 2016,940814,"<p>I created a Windows 10 Universal App which accesses files and folders from OneDrive for a slideshow. Authentication and download works perfectly on Windows 10 PCs and Tablets that are signed in with a Microsoft Account.</p>		<p>When I run the application on Windows 10 IoT core, I get the error "The specified account does not exist. (Exception from HRESULT: 0x80070525)". </p>		<p>How can I log in with my Microsoft Account? Can I create a local account from a Microsoft Account on IoT Core? Or do I need to get a token from somewhere else and pass it to the device?</p>	"
35439264,35440179,35439264,2,0,Tue Feb 16 18:20:00 EST 2016,4754101,"<p>You will need to show the login screen to the user and retrieve an access code, which will be used to login. Ensure your IoT device has internet access.</p>		<p>ms-iot team has made the Onedrive connector available on Github. More details here: <a href="https://github.com/ms-iot/onedrive-connector" rel="nofollow">https://github.com/ms-iot/onedrive-connector</a></p>	"
