thread_ID, Id, ParentId, PostType, Score, CreationDate, OwnerID, Body
53312055,53312055,null,1,0,Thu Nov 15 03:35:00 EST 2018,10444968,"<p><img src="https://i.stack.imgur.com/QP1zY.png" alt="Complex Diagram"></p>		<p>How can CLIENT continuously receive data from SERVER? I think my sequence diagram is complex solution. I just want Client set connect with  Server 1 time then Server  continuously send data to Client anyway. Here I use API-Restful + Mosquitto</p>	"
53312055,53315935,53312055,2,0,Thu Nov 15 09:13:00 EST 2018,504554,"<p>MQTT can run over a Websocket connection so it is possible to subscribe directly to the MQTT broker from within a webpage. This would remove the need for any REST calls.</p>		<p>The <a href="https://www.eclipse.org/paho/clients/js/" rel="nofollow noreferrer">Paho</a> Javascript client supports MQTT of Websockets.</p>		<p>The broker will need to be configured to support MQTT over Websockets on a separate port from the normal native MQTT support. Details of how to set up Mosquitto to do this can be found in the <a href="https://mosquitto.org/man/mosquitto-conf-5.html#idm407" rel="nofollow noreferrer">man</a> page</p>	"
