thread_ID, Id, ParentId, PostType, Score, CreationDate, OwnerID, Body
42031712,42031712,null,1,0,Fri Feb 03 19:31:00 EST 2017,2976904,"<p>I have a UWP application that run on raspberry that handles some stuff.</p>		<p>There is no display connected to Raspberry nor can't be. But few times a day there is a need to change some settings or access application log. I want to connect to device and manage it wirelessly by phone. I know there is a app for Windows 10, but majority of users have Android/iOS.</p>		<p>My idea was to run UWP and asp.Net web application simoutanously on Raspberry. Is it possible? </p>		<p>Or is there any other way to do it?</p>		<p>Thank you for your answers and ideas.</p>	"
42031712,42199644,42031712,2,1,Mon Feb 13 08:29:00 EST 2017,7537914,"<blockquote>	  <blockquote>	    <p>My idea was to run UWP and asp.Net web application simoutanously on Raspberry. Is it possible? </p>	  </blockquote>	</blockquote>		<ol>	<li><p>Windows IoT core does not support .Net Framework. So full-wing ASP.NET is NOT supported on Windows IoT Core.</p></li>	<li><p>ASP.NET Core is supported by Windows ARM, but it's still in beta.</p>		<p>ASP.NET Core is part of .NET Core, so .NET Core should be installed on PC and ASP.NET Core Web Application needs Windows arm platform to run on raspberry pi. However the Daily Builds of ASP.NET Core is still in a beta version.</p></li>	<li><p>UWP and ASP.NET Core CAN be run simultaneously on Windows IoT Core. </p>		<p>The UWP application can be run on Windows IoT core and ASP.NET Core Web Application can be run on ASP.NET Core. So UWP application and Web Application can be run simultaneously. </p></li>	</ol>		<p>Link:</p>		<p><a href="https://blogs.msdn.microsoft.com/cesardelatorre/2016/06/27/net-core-1-0-net-framework-xamarin-the-whatand-when-to-use-it/" rel="nofollow noreferrer">https://blogs.msdn.microsoft.com/cesardelatorre/2016/06/27/net-core-1-0-net-framework-xamarin-the-whatand-when-to-use-it/</a></p>		<p><a href="https://www.microsoft.com/net/download/core#/current" rel="nofollow noreferrer">https://www.microsoft.com/net/download/core#/current</a></p>		<p><a href="https://github.com/dotnet/core-setup" rel="nofollow noreferrer">https://github.com/dotnet/core-setup</a></p>		<p><a href="https://github.com/dotnet/coreclr/issues/7899" rel="nofollow noreferrer">https://github.com/dotnet/coreclr/issues/7899</a></p>		<p><a href="https://developer.microsoft.com/en-us/windows/iot/samples/helloworld" rel="nofollow noreferrer">https://developer.microsoft.com/en-us/windows/iot/samples/helloworld</a></p>	"
