thread_ID, Id, ParentId, PostType, Score, CreationDate, OwnerID, Body
53221491,53221491,null,1,0,Fri Nov 09 07:33:00 EST 2018,7093617,"<p>I want to use AWS IoT Rule Engine to republish a totally irrelevant message to another topic when the input met a certain condition. How can I do this?</p>		<pre><code>SELECT * FROM topic/input WHERE value &gt; 5	</code></pre>		<p>If I get a payload</p>		<pre><code>{	    "value": 8	}	</code></pre>		<p>I want to republish a message to topic/output</p>		<pre><code>{	    "Msg": "We got fire"	}	</code></pre>		<p>Input and Output payload are totally irrelevant. </p>	"
53221491,93378584,53221491,3,0,Sun Nov 11 07:56:00 EST 2018,7093617,"or I have to use AWS Lambda? The funcitonality is quite simple, any possibility to avoid?"
