thread_ID, Id, ParentId, PostType, Score, CreationDate, OwnerID, Body
47567379,47567379,null,1,1,Thu Nov 30 06:43:00 EST 2017,7267985,"<p><a href="https://i.stack.imgur.com/c8cH5.jpg" rel="nofollow noreferrer"><img src="https://i.stack.imgur.com/c8cH5.jpg" alt="enter image description here"></a>I have developed an android app, which connects to the Arduino via Bluetooth and receives data continuously. Everything was working fine two days ago but now sometime, my android device has been showing a pop-up message like <strong>unfortunately, ePlay3Service has stopped</strong> It doesn't affect my app but it shows up after some time. </p>		<p>Device Configuration:</p>		<ul>	<li>Device Name : Swipe Slice tab</li>	<li>Android OS Version : 4.4.2</li>	</ul>		<p>If you need any further information, please comment below.</p>		<p>P.S. <strong>ePlay3Service</strong> is not my app name. I have searched for it but still, I haven't got any clue for that.</p>	"
47567379,82094253,47567379,3,0,Thu Nov 30 07:54:00 EST 2017,7267985,"I have doubt about it though I have used this "pl.droidsonroids.gif:android-gif-drawable:1.2.+" library in the project. Is that library create that problem?"
47567379,82092636,47567379,3,0,Thu Nov 30 06:59:00 EST 2017,8782189,"Its hard to be accurate without device logs/package details, but **ePlay3Service** seems to be a part of 3rd party package installed in your device."
