thread_ID, Id, ParentId, PostType, Score, CreationDate, OwnerID, Body
39075892,39075892,null,1,2,Mon Aug 22 09:29:00 EDT 2016,3497854,"<p>Is there a way to create rules, actions, message schemas from a program using REST APIs?	I want a simple rule to be configured like <code>eventData.temperature &gt; 50 C</code> do some action. Can this be done programatically?</p>		<p>Also, Can this value <code>50 C</code> be configured somewhere instead of hard-coding in the rule?</p>	"
39075892,40411048,39075892,2,0,Thu Nov 03 20:53:00 EDT 2016,4454969,"<p>Are you trying to create the rules so they appear in the real-time dashboard in Watson?  If not, you should be able to create an application with logic.  Have you tried the Node-RED sample that comes with boilerplate, it has logic similar to what you mention and you can customize it. </p>	"
39075892,40823557,39075892,2,0,Sat Nov 26 21:54:00 EST 2016,6339739,"<p>Before RealTime Insights was merged into iot platform we had a specific API to manage rules and actions. Since the merge was applied, it seems that the RTI API is not available anymore. </p>	"
