thread_ID, Id, ParentId, PostType, Score, CreationDate, OwnerID, Body
51963104,51963104,null,1,3,Wed Aug 22 08:51:00 EDT 2018,1630000,"<p>I want to run the device update using aws iot jobs can I set startTime? 	I saw in their documentation <a href="https://www.npmjs.com/package/aws-iot-device-sdk#examples" rel="nofollow noreferrer">https://www.npmjs.com/package/aws-iot-device-sdk#examples</a> .<br>	"autoStart: If set to true then agent will execute launch command when agent starts up."	but they didn't mention anything regarding how to schedule the start at specific time</p>	"
51963104,52732776,51963104,2,2,Wed Oct 10 04:44:00 EDT 2018,152567,"<p>I don't believe there is any feature to set a schedule or introduce a time delay for AWS IoT Jobs.</p>		<p>The <code>autostart</code> flag refers to an <em>offline</em> device coming <em>online</em>, and what behaviour happens then.</p>		<p>You can implement this yourself by having a process running which knows to create the jobs at the correct time.</p>	"
