thread_ID, Id, ParentId, PostType, Score, CreationDate, OwnerID, Body
51740371,51740371,null,1,0,Wed Aug 08 06:59:00 EDT 2018,6689891,"<p>I'm a newbie in working with the Thingsboard IOT platform.</p>		<p>How to integrate Lora server with the Thingsboard platform?</p>		<p>Give me step by step instructions, please.</p>	"
51740371,51751221,51740371,2,0,Wed Aug 08 16:09:00 EDT 2018,null,"<p>There are guides <a href="https://thingsboard.io/docs/user-guide/integrations/ttn/" rel="nofollow noreferrer">"Connect LoRaWAN devices using TheThingsNetwork"</a> and <a href="https://thingsboard.io/docs/user-guide/integrations/thingpark/" rel="nofollow noreferrer">"Connect LoRaWAN devices using Actility ThingPark"</a>.	Maybe these ones help you.</p>	"
