thread_ID, Id, ParentId, PostType, Score, CreationDate, OwnerID, Body
37768118,37768118,null,1,0,Sat Jun 11 20:14:00 EDT 2016,6454457,"<p>I want to install MQTT server on Ubuntu.</p>		<p>I'm following: <a href="https://www.digitalocean.com/community/questions/how-to-setup-a-mosquitto-mqtt-server-and-receive-data-from-owntracks" rel="nofollow noreferrer">https://www.digitalocean.com/community/questions/how-to-setup-a-mosquitto-mqtt-server-and-receive-data-from-owntracks</a></p>		<p>I'm at Step 2: Install Mosquitto.	A problem occurs when I input <code>commands &gt;&gt;&gt; make</code>...</p>		<p><a href="https://i.stack.imgur.com/WCAD8.jpg" rel="nofollow noreferrer"><img src="https://i.stack.imgur.com/WCAD8.jpg" alt="Console Image"></a></p>	"
37768118,37768983,37768118,2,0,Sat Jun 11 22:20:00 EDT 2016,5535550,"<p>looks like you are missing the compiler.  install it with the following command:</p>		<p><code>sudo apt-get install build-essential</code></p>		<p>This is mentioned in step 2 of the instructions in your link:</p>		<p><code>	apt-get update	apt-get install build-essential libwrap0-dev libssl-dev libc-ares-dev uuid-dev xsltproc	</code></p>		<p>You will likely need to precede both of the above commands with <code>sudo</code></p>	"
