thread_ID, Id, ParentId, PostType, Score, CreationDate, OwnerID, Body
34338825,34338825,null,1,1,Thu Dec 17 15:54:00 EST 2015,5345671,"<p>I want to deploy my universal windows application to raspberry pi 2 devices. I can do that one by one. But how can I deploy multiple pi devices at once?</p>		<p>Best regards</p>	"
34338825,34350987,34338825,2,0,Fri Dec 18 08:04:00 EST 2015,1438337,"<p>Visual Studio needs a dedicated target (your phone, computer, PI, etc.) to deploy/debug your app.	It can handle only 1 target so you won't be able to do it using Visual Studio.</p>		<p>What you can try (I'm not 100% it will work): create a post build event that call a .bat/.ps1 file which will do the deployment.	To do so, you just need to be sure that there is a command line that exists to deploy the package "manually".</p>	"
34338825,34544219,34338825,2,0,Thu Dec 31 09:33:00 EST 2015,2750392,"<p>One thing is you can deploy an app via the web portal. If you connect multiple RPi2 on the same network you may write a script to deploy the app through the web interface.</p>		<p><a href="https://i.stack.imgur.com/FPRvh.png" rel="nofollow noreferrer"><img src="https://i.stack.imgur.com/FPRvh.png" alt="enter image description here"></a></p>	"
