thread_ID, Id, ParentId, PostType, Score, CreationDate, OwnerID, Body
31858619,31858619,null,1,1,Thu Aug 06 14:35:00 EDT 2015,1073912,"<p>I have a Raspberry Pi 2 with Windows 10 ioT.  How do I set the time of the device using C#  ?	Thanks</p>		<p>P.S. If not possible, how do I set the timezone ?</p>	"
31858619,31881295,31858619,2,7,Fri Aug 07 15:21:00 EDT 2015,1898217,"<p>You can do this by <a href="http://ms-iot.github.io/content/en-US/win10/samples/PowerShell.htm">connecting remotely to your device via Powershell</a> and running "tzutil".</p>		<p><strong>Current time zone</strong> </p>		<p>TZUTIL /g      </p>		<p><strong>Current time</strong> </p>		<p>date            </p>		<p><strong>To get a list of all available time zones</strong></p>		<p>tzutil /l      </p>		<p><strong>Set time zone</strong></p>		<p>TZUTIL /s "Pakistan Standard Time"  </p>	"
