thread_ID, Id, ParentId, PostType, Score, CreationDate, OwnerID, Body
37796165,37796165,null,1,1,Mon Jun 13 17:51:00 EDT 2016,1836950,"<p>Where can I find "how to" articles and samples about accessing IO ports using Win 10 IoT on Raspberry 3?	Furthermore: What is Win 10 "Arduino Virtual Shield" and "Arduino Remote Experience"?	Any recommendations for IO libs?	Thx!</p>	"
37796165,37796511,37796165,2,0,Mon Jun 13 18:12:00 EDT 2016,6368877,"<p>Find documentation and samples on <a href="https://github.com/ms-iot" rel="nofollow">Windows 10 IoT Core Samples</a> <br> and a getting started on <a href="https://developer.microsoft.com/en-us/windows/iot" rel="nofollow">The Internet of your things</a></p>	"
