thread_ID, Id, ParentId, PostType, Score, CreationDate, OwnerID, Body
55235674,55235674,null,1,-1,Tue Mar 19 07:34:00 EDT 2019,2868864,"<p>We are reading the lwm2m spec for a college assignment simulation and trying to implement client and server requests . Finding it  hard to understand few details . Documentation is limited on it. We were told a requirement was to configure multiple clients . Does that mean each end point will have its own object ids according to lwm2m ? What will be unique for each client ? What we understood was each client has several objects like location , device , access control , security etc . Is there any good documentation out there or can someone give us a pointer for basic hierarchy of lwm2’ ? </p>	"
55235674,55591114,55235674,2,0,Tue Apr 09 10:52:00 EDT 2019,4188595,"<p>LwM2M server registers client devices by uniqued endpoint name. To understand the lwm2m server and client flow better, you should play this demo sand box from leshan lwm2m</p>		<p><a href="https://leshan.eclipseprojects.io/#/clients" rel="nofollow noreferrer">https://leshan.eclipseprojects.io/#/clients</a></p>		<p>You can read this to understand more about API in lwM2M</p>		<p><a href="https://www.win.tue.nl/~lrahman/iot_2016/tutorial/LeshanTutorial_2016_v2.pdf" rel="nofollow noreferrer">https://www.win.tue.nl/~lrahman/iot_2016/tutorial/LeshanTutorial_2016_v2.pdf</a></p>	"
