thread_ID, Id, ParentId, PostType, Score, CreationDate, OwnerID, Body
56240065,56240065,null,1,0,Tue May 21 14:04:00 EDT 2019,8966766,"<p>I'm working with the particle photon device which is an iot device that can be set into a listening mode which runs an http server that you connect to in order set it's internal wifi and some of its device keys. The issue i'm having is that when I connect to its wifi from within my application hosted using https on firebase i'm recieving </p>		<pre><code>Blocked loading mixed active content â€œhttp://192.168.0.1/device-idâ€?[Learn More] request.js:150	Blocked loading mixed active content â€œhttp://192.168.0.1/setâ€?[Learn More] request.js:150	TypeError: NetworkError when attempting to fetch resource.	</code></pre>		<p>which refrences this piece of code </p>		<pre><code>    global.fetch(self._opts.url, {	            method: self._opts.method,	            headers: headersList,	            body: body || undefined,	            mode: 'cors',	            credentials: opts.withCredentials ? 'include' : 'same-origin',	            signal: signal	        }).then(function (response) {	            self._fetchResponse = response	            self._connect()	        }, function (reason) {	            global.clearTimeout(self._fetchTimer)	            if (!self._destroyed)	                self.emit('error', reason)	        })	</code></pre>	"
56240065,99107578,56240065,3,0,Tue May 21 18:38:00 EDT 2019,7386278,"Looks like you are hitting CORS restrictions.  Try [this](https://medium.com/@alexishevia/using-cors-in-express-cac7e29b005b)?"
