thread_ID, Id, ParentId, PostType, Score, CreationDate, OwnerID, Body
41399468,41399468,null,1,0,Fri Dec 30 16:29:00 EST 2016,5809253,"<p>I am dealing with an issue while trying to use telefonica/orchestrator and I hope anyone can help me with it.	My server is CentOS 7.3 and I am trying to build an IoT platform using docker version 1.10.3 and FIWARE. I have successfuly installed all necessary containers (mongodb, orion, mysql, keystone, keypass, pep and orchestrator). Everything works fine except orchestrator. When I am trying to</p>		<pre><code>curl localhost:8084/v1.0/version	</code></pre>		<p>the response is:</p>		<pre><code>curl: (56) Recv failure: Connection reset by peer	</code></pre>		<p>Any ideas why this is happening?</p>	"
41399468,42767550,41399468,2,1,Mon Mar 13 15:33:00 EDT 2017,5485829,"<p>It seems that you are trying to ask API orchestrator before orchestrator is completed started. Just wait some seconds before do that.	BTW telefonica/orchestrator is not part of FIWARE.</p>	"
41399468,72816731,42767550,3,0,Fri Mar 17 10:37:00 EDT 2017,5809253,"Thank you for your help. Unfortunately, I have tried it many times and waited for more than some seconds but with no luck. I know that telefonica/orchestrator is not part of FIWARE but it is very relevant to it, that is why I included it."
