thread_ID, Id, ParentId, PostType, Score, CreationDate, OwnerID, Body
36067567,36067567,null,1,1,Thu Mar 17 17:22:00 EDT 2016,5973340,"<p>I'm trying to make an UWP app for receiving messages from Azure IoT hub, and I found some example code that use Azure sb lite, but problem is in these lines of code:</p>		<pre><code>var factory = MessagingFactory.CreateFromConnectionString(Config.ConnectionStringAzureSbLite);	var client = factory.CreateEventHubClient(Config.EventHubCompatibleName);	</code></pre>		<p>Where can I find out what is my <code>ConnectionStringAzureSbLite</code> and what is my <code>EventHubCompatibleName</code>?</p>	"
36067567,36072692,36067567,2,0,Thu Mar 17 22:17:00 EDT 2016,6031383,"<p>You can get these from the Azure portal. Look at the settings for your IoT Hub in the "Messaging" settings.  See the section "How to read from Event Hubs-compatible endpoints" here:  <a href="https://azure.microsoft.com/en-us/documentation/articles/iot-hub-devguide/" rel="nofollow">https://azure.microsoft.com/en-us/documentation/articles/iot-hub-devguide/</a> </p>	"
