thread_ID, Id, ParentId, PostType, Score, CreationDate, OwnerID, Body
38121551,38121551,null,1,0,Thu Jun 30 11:16:00 EDT 2016,6496104,"<p>How can I enable the microphone input on Windows 10 IoT Core? I can't change it in the Device Portal. Does the mini-jack double as a mic input connector?</p>	"
38121551,38128369,38121551,2,0,Thu Jun 30 16:09:00 EDT 2016,3922344,"<p>here is no line-in on the Rpi but if you connect a USB headset you will see the slides in the device portal turn blue and then it will be a recognizable device in your code. </p>		<p>Additionally you could use a USB audio interface like it was done in this project: <a href="https://www.hackster.io/AnuragVasanwala/speech-controlled-robot-49744c" rel="nofollow">https://www.hackster.io/AnuragVasanwala/speech-controlled-robot-49744c</a></p>	"
