thread_ID, Id, ParentId, PostType, Score, CreationDate, OwnerID, Body
37670414,37670414,null,1,0,Tue Jun 07 04:19:00 EDT 2016,6398556,"<p>when I trying to start <code>WSO2 IoTs Server</code> and go to <code>https://localhost:9443/devicemgt</code>, I'm getting the <code>error</code> </p>		<blockquote>	  <p>HTTP Status 500 - Cannot call method getUIPermissions of undefined.</p>	</blockquote>		<p>I'm using MySQL and run <code>WSO2 IoTs</code> alone on <code>localhost</code>.</p>		<p><a href="http://pastebin.com/FuThFcNS" rel="nofollow">Carbon Logs here</a></p>	"
37670414,37800708,37670414,2,0,Mon Jun 13 23:27:00 EDT 2016,2204062,"<p>This issue is raised when you try to start the pack with a -Dsetup. You can execute the database scripts that are available in the dbscripts folder manually and then run the product. This issue has been fixed after the alpha release.</p>	"
