thread_ID, Id, ParentId, PostType, Score, CreationDate, OwnerID, Body
52890126,52890126,null,1,0,Fri Oct 19 10:01:00 EDT 2018,5798231,"<p>Im currently working on the mic array board Respeaker Core V2(debian os and i use Python to code my project), the problem with this board is that it can only play wav audio file, but now i want to streaming audio from an url which protocol send mp3 format data.</p>		<p>This is the code that i used to play mp3 stream with python-vlc(this code work on pc but not on the board):</p>		<pre><code>import vlc	import time		player = vlc.MediaPlayer(url)	playing = set([1,2,3,4])	player.play()		while True:	    state = player.get_state()	    if state not in playing:	        break	    continue	</code></pre>		<p>Is there anyway i can convert mp3 to wav while streaming with python or if i can't do that, will i have any other way to stream mp3 url with this board?</p>		<p>Thanks for reading.</p>	"
52890126,92693479,52890126,3,0,Fri Oct 19 10:23:00 EDT 2018,3110529,"[the ReSpeaker Core docs](http://wiki.seeedstudio.com/ReSpeaker_Core/#first-impression-with-voice-interaction-respeaker-play-music) seem to have the answer you're looking for - you can use madplay to play mp3 files."
