thread_ID, Id, ParentId, PostType, Score, CreationDate, OwnerID, Body
49120419,49120419,null,1,1,Mon Mar 05 22:16:00 EST 2018,9448216,"<p>Is there a Kaa SDK for C# out-there?	The kaaproject.com don't seem to support C#(.Net, but maybe there is someone alternative that allows me to build something in .Net that can behave like a device (kaa endpoint); Meaning  sending messages (kaa data collections) and received messages (kaa configuration)?</p>		<p>Reading about the Kaa REST api, it don't seem to support sending/receiving messages. its more for administration.</p>		<p>Or maybe there is some other way that can be used to accomplish the same thing.</p>	"
49120419,49228699,49120419,2,1,Mon Mar 12 05:33:00 EDT 2018,8699240,"<p>Currently, the Kaa platform supports the following programming languages:</p>		<ul>	<li><p>C</p></li>	<li><p>C++</p></li>	<li>Objective-C</li>	<li>Java</li>	</ul>		<p>Please see <a href="https://kaaproject.github.io/kaa/docs/v0.10.0/Programming-guide/Using-Kaa-endpoint-SDKs/" rel="nofollow noreferrer">this</a> link for more information.</p>	"
