thread_ID, Id, ParentId, PostType, Score, CreationDate, OwnerID, Body
31472707,31472707,null,1,0,Fri Jul 17 09:34:00 EDT 2015,5122695,"<p>I noticed a limit of 2000 records per API call for getting collections out of Cumulocity. Will we be constrained to these limits or is there any other batch API available?</p>	"
31472707,31473886,31472707,2,0,Fri Jul 17 10:35:00 EDT 2015,2532578,"<p>You cannot get more than 2000 records for a single collection request at the moment. But you can specify a more direct query e.g. by time and grab it in multiple requests if it exceeds the 2000 records.</p>		<p>Example:</p>		<pre><code>/measurement/measurements?dateFrom={dateFrom}&amp;dateTo={dateTo}	</code></pre>		<p>Another way would be to get data continuously pushed to you. You can use the real-time API <a href="http://cumulocity.com/guides/reference/real-time-notifications/" rel="nofollow">http://cumulocity.com/guides/reference/real-time-notifications/</a></p>	"
