thread_ID, Id, ParentId, PostType, Score, CreationDate, OwnerID, Body
37361032,37361032,null,1,0,Sat May 21 09:16:00 EDT 2016,6186430,"<p>hi we are working on a home automation project which can controll over mobile app 	so  can I use google cloud message for this type of home automation purposes ?	and also does the gcm requires a sim card to work ?</p>	"
37361032,37395492,37361032,2,0,Mon May 23 15:56:00 EDT 2016,1410370,"<p>I'm not sure about the particulars of the system you are designing. However once your Android, iOS or Chrome device is online it will be able to receive GCM (now FCM) messages. No sim card is required.</p>	"
