thread_ID, Id, ParentId, PostType, Score, CreationDate, OwnerID, Body
35856845,35856845,null,1,2,Tue Mar 08 00:36:00 EST 2016,3266083,"<p>I have a MQTT client that sends a CONNECT packet the the MQTT broker with username and password. Now if the client is not authorized to connect, the broker is going to close the connection. How can the MQTT broker tell the client that the reason for closing the connection is that its not authorized? The CONNACK packet does not allow any payloads.</p>		<p>Thanks!</p>	"
35856845,35873432,35856845,2,2,Tue Mar 08 17:00:00 EST 2016,429431,"<p>It would return a CONNACK packet with the Connect Return code set to 5. This is described in section 3.2.2.3 of the MQTT v3.1.1 spec.</p>		<p><a href="http://docs.oasis-open.org/mqtt/mqtt/v3.1.1/os/mqtt-v3.1.1-os.html#_Toc398718033" rel="nofollow">http://docs.oasis-open.org/mqtt/mqtt/v3.1.1/os/mqtt-v3.1.1-os.html#_Toc398718033</a></p>	"
