thread_ID, Id, ParentId, PostType, Score, CreationDate, OwnerID, Body
54210468,54210468,null,1,0,Wed Jan 16 04:33:00 EST 2019,9873953,"<p>I have register AWS IoT Greengrass group.</p>		<p>I also download Greengrass certificate from console and <a href="https://www.amazontrust.com/repository/AmazonRootCA1.pem" rel="nofollow noreferrer">AmazonRoot-CA1</a></p>		<p>here is list my certificate files(store in /greengrass/certs/):</p>		<pre><code>-rw-r--r-- 1 pi pi 1220 Jan 15 10:07 82ab16xxxx.cert.pem	-rw-r--r-- 1 pi pi 1679 Jan 15 10:07 82ab16xxxx.private.key	-rw-r--r-- 1 pi pi  451 Jan 15 10:07 82ab16xxxx.public.key	-rw-r--r-- 1 pi pi 1188 Jan 15 10:07 root.ca.pem	</code></pre>		<p>When I start greengrassd by command:</p>		<pre><code>sudo ./greengrassd start	</code></pre>		<p>I have error:</p>		<pre><code>Setting up greengrass daemon	Validating hardlink/softlink protection	Waiting for up to 40s for Daemon to start	Error occured while generating TLS config: ErrUnknownURIScheme: no handlers matched for path: .../greengrass/certs/root.ca.pem	The Greengrass daemon process with [pid = 18029] died	</code></pre>		<p>I have try to re-install OS but still error.</p>		<p>I also install mosquitto-clients and mosquitto on raspberrypi</p>		<p>Thanks.</p>	"
54210468,54248166,54210468,2,0,Fri Jan 18 05:26:00 EST 2019,10931624,"<p>I'm guessing your issue is that you haven't activated your root CA from the console.  </p>		<p>try this instead:</p>		<p>sudo wget -O root.ca.pem <a href="https://www.amazontrust.com/repository/AmazonRootCA1.pem" rel="nofollow noreferrer">https://www.amazontrust.com/repository/AmazonRootCA1.pem</a></p>		<p>try doing this directly in your certs directory then restarting your deamon.</p>	"
