thread_ID, Id, ParentId, PostType, Score, CreationDate, OwnerID, Body
48544458,48544458,null,1,0,Wed Jan 31 14:23:00 EST 2018,8584914,"<p>wso2 iot 2 policies can not be assigned to a device on the server at the same time?</p>		<p>Why does not the other one work when a policy is defined?	<a href="https://wso2.org/jira/secure/attachment/40091/PolicyPriorityUI.png" rel="nofollow noreferrer">https://wso2.org/jira/secure/attachment/40091/PolicyPriorityUI.png</a></p>	"
48544458,48560758,48544458,2,0,Thu Feb 01 10:40:00 EST 2018,8465139,"<p>IoT server does not support adding multiple policies to the device at the same time. Only one policy can be assigned to the device at a given time.</p>	"
