thread_ID, Id, ParentId, PostType, Score, CreationDate, OwnerID, Body
29094125,29094125,null,1,1,Tue Mar 17 08:13:00 EDT 2015,4485457,"<p>I have done rpl-border-router.c as router on sky mote and 1 udp-server.c mote on sky in cooja. I connect router using tunslip utility.</p>		<p>I can ping my server as well as router.</p>		<p>I want to send udp data to server via my linux as host via tun0, but i cant manage to send on it. I have notice that by ping from terminal it works , by opening in firefox router shows routes, How to send packet to my server via border router from linux as host. </p>	"
29094125,29118518,29094125,2,0,Wed Mar 18 09:38:00 EDT 2015,4187641,"<p>Use netcat!<br>	<code>netcat -u [node ip] [port]</code><br>	this opens up a connection to the UDP server on the node and allows you to send UDP messages from the console.</p>	"
