thread_ID, Id, ParentId, PostType, Score, CreationDate, OwnerID, Body
55994522,55994522,null,1,0,Sun May 05 17:21:00 EDT 2019,6307038,"<p>Im trying to send data from my Arduino Uno via GSM network to Azure IoT hub. Im using SIM800 GSM module with static IP microSIM card.	My question is: how can I connect my device and send data to Azure IoT hub? If you can, please provide example for connection part.</p>		<p>I have already created personal Azure IoT hub.	I have already registered new device and downloaded Device Explorer app for Windows. I have downloaded Arduino IDE app for Windows.</p>	"
55994522,98785512,55994522,3,0,Fri May 10 08:15:00 EDT 2019,8188729,"Take as look at https://social.msdn.microsoft.com/Forums/en-US/2e603893-6186-4a2b-ba59-f06e86938aa3/arduino-gsm-connection-to-azure-iot-hub?forum=azureiothub and https://github.com/Azure/connectthedots and see if it helps."
