thread_ID, Id, ParentId, PostType, Score, CreationDate, OwnerID, Body
50391615,50391615,null,1,0,Thu May 17 12:34:00 EDT 2018,9635765,"<p>How can we give access to "read" the data from the application build on cloud to other people? I am trying to make the temperature monitoring system with <a href="https://store.ncd.io/product/industrial-long-range-wireless-temperature-humidity-sensor/" rel="nofollow noreferrer">mesh based sensor</a> with particle electron and  wanted to build an application using Kaa development platform which give me the right to edit the library of sensors and save the sensor data by linking to any cloud database and at same time it gives rights to only read the output (from sensors) to my colleagues through the application</p>	"
50391615,50753941,50391615,2,0,Fri Jun 08 05:32:00 EDT 2018,9635765,"<p>Hey if you are able to take the user id password as input in your application then you should use this <a href="https://kaaproject.github.io/kaa/docs/v0.10.0/Administration-guide/User-management/" rel="nofollow noreferrer">documentation</a> which will help you to manage the user according to your needs </p>		<p>But I am not understand about the word you use'MASTER' can please elaborate it 	Yes but if you are thinking to create more admin then you can do it by using <a href="https://kaaproject.github.io/kaa/docs/v0.10.0/Administration-guide/Tenants-and-applications-management/" rel="nofollow noreferrer">this</a>  </p>	"
