thread_ID, Id, ParentId, PostType, Score, CreationDate, OwnerID, Body
32063856,32063856,null,1,0,Tue Aug 18 05:00:00 EDT 2015,1864986,"<p>I am currently searching for a way to interact with external USB devices, such as hard drives or USB sticks.</p>		<p>I want to interact with the files on these USB devices from my apps.</p>		<p>Since it is .NetCore you can't use System.IO for that.</p>		<p>Any Ideas how to solve this ?</p>	"
32063856,32420256,32063856,2,4,Sun Sep 06 05:08:00 EDT 2015,1454704,"<p>Try using the <a href="https://msdn.microsoft.com/en-us/library/windows/apps/windows.storage.knownfolders.aspx" rel="nofollow">KnownFolders</a> in UWP API. Here's a <a href="https://msdn.microsoft.com/en-us/library/windows/apps/mt188699.aspx" rel="nofollow">sample</a></p>	"
