thread_ID, Id, ParentId, PostType, Score, CreationDate, OwnerID, Body
38071281,38071281,null,1,0,Tue Jun 28 08:45:00 EDT 2016,6489903,"<p>I send data from Azuer IoT Hub with Stream Analytics to Power BI and show it with the Stack Column Chart. I Send the Productname and amount=1.</p>		<p><a href="https://i.stack.imgur.com/726MK.png" rel="nofollow noreferrer"><img src="https://i.stack.imgur.com/726MK.png" alt="enter image description here"></a> </p>		<p>The amount will be show as Sum for a product. I send new amount it will be added to last value. </p>		<p>How can i reset the value amount of one or all product. I will send a command to reset the value of product amount. </p>		<p>I use the PowerBI for free online.</p>		<p>Thanks</p>	"
38071281,38088390,38071281,2,0,Wed Jun 29 00:27:00 EDT 2016,5269420,"<p>You would have to clear the entire table. You could do it with this API call: <a href="http://docs.powerbi.apiary.io/#reference/datasets/table-rows/clear-the-rows-in-a-table" rel="nofollow">http://docs.powerbi.apiary.io/#reference/datasets/table-rows/clear-the-rows-in-a-table</a> </p>	"
38071281,73087216,38088390,3,0,Fri Mar 24 11:50:00 EDT 2017,6489903,"I would like to do this with Azuer IoT Hub and Stream Analytics ;)"
