thread_ID, Id, ParentId, PostType, Score, CreationDate, OwnerID, Body
31663831,31663831,null,1,1,Mon Jul 27 21:42:00 EDT 2015,5162430,"<p>Hey I followed a tutorial at <a href="https://developer.ibm.com/bluemix/2015/04/02/tutorial-using-a-raspberry-pi-python-iot-twilio-bluemix/" rel="nofollow">https://developer.ibm.com/bluemix/2015/04/02/tutorial-using-a-raspberry-pi-python-iot-twilio-bluemix/</a> and a line is giving me hell.</p>		<pre><code>client.publishEvent("raspberrypi",options["deviceId"], "input", myData)	</code></pre>		<p>TypeError: publishEvent() takes at least 6 arguments (5 given)</p>		<p>Any advice?</p>	"
31663831,31663903,31663831,2,-1,Mon Jul 27 21:47:00 EDT 2015,4899825,"<p>In the comments of the tutorial "Mike D" said:</p>		<blockquote>	  <p>This problem is covered in the IBM board. You now have to specify the message packing.</p>	</blockquote>	"
31663831,51272415,31663903,3,0,Mon Jul 27 21:53:00 EDT 2015,4899825,"It refers to a post of "Kicke". He has got the same problem like you. I don´t know if my answer helps but maybe you can search for this message packing mentioned by Mike D."
31663831,31676392,31663831,2,1,Tue Jul 28 12:30:00 EDT 2015,3817025,"<p>The client has recently changed, the 6th argument that it expects is <a href="https://github.com/ibm-messaging/iot-python/blob/master/src/ibmiotf/application.py#L258" rel="nofollow">message format</a>.</p>		<p>The 5th argument would just be <code>json</code>.</p>		<pre><code>client.publishEvent("raspberrypi", options["deviceId"], "input", "json", myData)	</code></pre>		<p>EDIT:	Updated the <a href="https://github.com/IBM-Bluemix/python-iot-raspberry-pi" rel="nofollow">source code</a>.</p>	"
31663831,51304518,31676392,3,0,Tue Jul 28 15:57:00 EDT 2015,3817025,"@jdistler if the above answer worked for you can you please upvote and accept?"
