thread_ID, Id, ParentId, PostType, Score, CreationDate, OwnerID, Body
30505485,30505485,null,1,0,Thu May 28 11:37:00 EDT 2015,4182755,"<p>Now am work with global sensor network(GSN &amp; X-GSN). how to enable https (SSL) support in GSN or X-GSN . anybody can help me. </p>	"
30505485,30578241,30505485,2,0,Mon Jun 01 16:10:00 EDT 2015,4030403,"<p>You can enable it in the config: </p>		<p><a href="https://github.com/LSIR/gsn/blob/master/conf/gsn.xml" rel="nofollow" title="config file">Link to Config file</a></p>	"
30505485,49289882,30578241,3,0,Wed Jun 03 05:30:00 EDT 2015,4182755,"thanks for u r comment. its working fine"
