thread_ID, Id, ParentId, PostType, Score, CreationDate, OwnerID, Body
52623794,52623794,null,1,1,Wed Oct 03 09:23:00 EDT 2018,8222927,"<p>What is the maximum payload length of MQTT-SN packet over UDP? The UDP does support 65507 bytes of data on its payload, but I wanted know what's the max size of MQTT-SN payload. Also, can the data be compressed in the MQTT-SN payload?  </p>	"
52623794,52625716,52623794,2,0,Wed Oct 03 11:07:00 EDT 2018,504554,"<p>The MQTT-SN protocol spec can be found <a href="http://mqtt.org/new/wp-content/uploads/2009/06/MQTT-SN_spec_v1.2.pdf" rel="nofollow noreferrer">here</a></p>		<p>Section 5 talks about the message format and section 5.2 talks about how the header is made up.</p>		<p>There is the length field which can be 1 or 3 bytes long followed by the message type byte. Then a number of fields depending on the type of message.</p>		<p>The 3 byte size can represent a max total message of 65535 bytes</p>		<p>Assuming a Publish, then section 5.4.12 has the format for a publish message. Also assuming you are using topic ids rather than full text topics. The header will be 9 bytes in size (assuming you want a large message so 3 byte size needed) this means the max payload can be 65498 bytes.</p>	"
52623794,92191129,52625716,3,0,Wed Oct 03 14:03:00 EDT 2018,8222927,"Thank you @hardillb, for your insight on that, I did check it out, but some forums said that only 4kB of data can be sent over UDP."
52623794,92191183,52625716,3,0,Wed Oct 03 14:04:00 EDT 2018,504554,"Having thought about it some more it will depend on the MTU of the network you are using as well"
