thread_ID, Id, ParentId, PostType, Score, CreationDate, OwnerID, Body
36694878,36694878,null,1,0,Mon Apr 18 13:05:00 EDT 2016,4674270,"<p>Is it possible to create an MQTT API service for being consumed by others? </p>		<p>If yes, how can I do that and would that be of any use?</p>		<p>If no, why? Maybe it is possible to set up an API using some other IoT-specific protocol (like CoAP or something else)?</p>		<p>I thought that it would be useful to persist the sensors' data and the data generated by other IoT devices in some cloud for being processed and analyzed.</p>	"
36694878,36695243,36694878,2,2,Mon Apr 18 13:21:00 EDT 2016,504554,"<p>It already exists.</p>		<p>Look at things like <a href="http://xively.com" rel="nofollow">Xively</a> as a dashboard for MQTT data or the IBM's <a href="https://internetofthings.ibmcloud.com/" rel="nofollow">IoTF</a> and Amazon's <a href="http://docs.aws.amazon.com/iot/latest/developerguide/what-is-aws-iot.html" rel="nofollow">AWS IoT</a> offerings</p>	"
