thread_ID, Id, ParentId, PostType, Score, CreationDate, OwnerID, Body
52969237,52969237,null,1,0,Wed Oct 24 12:40:00 EDT 2018,8252675,"<p>I am modeling <strong>data vault for IoT data</strong>. For that I am trying to use time-series database. So can anyone clarify my doubt whether <strong>Time-Series database support hash key</strong>?</p>	"
52969237,92849623,52969237,3,0,Wed Oct 24 14:33:00 EDT 2018,2531132,"Can you please clarify your question a bit? I know quite a bit about time series databases, but I don't know what you're asking, so it's hard for me to help."
