thread_ID, Id, ParentId, PostType, Score, CreationDate, OwnerID, Body
37975225,37975225,null,1,1,Wed Jun 22 18:01:00 EDT 2016,2209189,"<p>This webcam (Microsoft LifeCam VX-700) can record from Rasberry Pi 3 Model B. The FPS is somewhere from 3-5 FPS on this sample <a href="https://codeload.github.com/ms-iot/samples/legacy.zip/master" rel="nofollow">https://codeload.github.com/ms-iot/samples/legacy.zip/master</a> (WebCamSample). Anyway to improve the FPS?</p>	"
37975225,37978204,37975225,2,1,Wed Jun 22 21:03:00 EDT 2016,1662124,"<p>The reason for this slow framerate is that there currently isn't an optimized GPU driver that enables hardware acceleration to its full potential. </p>		<p>When you look at the Device Portal (admin site of the device on port 8080) you will notice in the performance tab that it mentions GPU but can't show any statistics. As soon as we get a build that includes the new driver I expect us to see some metrics there and vastly improved video performance.</p>		<p>This is a know issue, a big one as well, but as far as I understood people are working on it.</p>		<p>Lowering the resolution will help, obviously.</p>	"
