thread_ID, Id, ParentId, PostType, Score, CreationDate, OwnerID, Body
53621781,53621781,null,1,0,Tue Dec 04 21:35:00 EST 2018,10746417,"<p>I am trying to send data coming in from the IoT hub into Service Bus when the routing criteria is met. For example, if temp level reaches a certain level. My device would send a JSON format "alert": true.</p>		<p>When I set the routing query to $body.alert = true. It does nothing and it won't route to the Service Bus for notifications. </p>		<p>Any help would be much appreciated. </p>		<p>Thank you </p>	"
53621781,53626150,53621781,2,1,Wed Dec 05 06:08:00 EST 2018,8084828,"<p>Try the following:</p>		<pre><code>message.ContentType = "application/json";	message.ContentEncoding = "utf-8";	</code></pre>		<p>see more details <a href="https://azure.microsoft.com/en-us/blog/iot-hub-message-routing-now-with-routing-on-message-body/" rel="nofollow noreferrer">here</a></p>	"
