thread_ID, Id, ParentId, PostType, Score, CreationDate, OwnerID, Body
54421049,54421049,null,1,-1,Tue Jan 29 12:26:00 EST 2019,5670397,"<p>I would like to route the IOT hub device to cloud messages to the asp.net core web app hosted as azure AppService. I am not sure whether it is possible. If yes, could you please provide the necessary instructions to achieve the same.</p>	"
54421049,54421573,54421049,2,-1,Tue Jan 29 12:54:00 EST 2019,8442930,"<p>If I understand correctly then Iot Hub messages can be routed to different endpoint like these</p>		<p>Built-in-endpoint 	Blob storage 	Event Hubs 	Service Bus Queues 	Service Bus Topics</p>		<p>Web app can then read messages from any of above endpoints.	more info here	<a href="https://docs.microsoft.com/en-us/azure/iot-hub/iot-hub-devguide-messages-d2c" rel="nofollow noreferrer">https://docs.microsoft.com/en-us/azure/iot-hub/iot-hub-devguide-messages-d2c</a></p>	"
