thread_ID, Id, ParentId, PostType, Score, CreationDate, OwnerID, Body
43166218,43166218,null,1,0,Sun Apr 02 08:25:00 EDT 2017,965730,"<p>I have requirement where i have a continuous flow of signals and i want to be informed if there has'nt been a signal for a certain amount of time.</p>		<p>right now i am adding every signal to a Hazelcast map and if it has not been updated for a certain amount of time the Hazelcast EntryExpiredListener fires.</p>		<p>So far, so good, but the EntryExpiredListener is called for every replica, so i am notified N times.</p>		<p>Is there a way to be only informed in the master node or only one replica?</p>		<p>I am aware that i am abusing HZ a bit and i am open for other ideas too.</p>	"
43166218,43166336,43166218,2,1,Sun Apr 02 08:39:00 EDT 2017,917336,"<p>I guess you use <code>IMap::addEntryListener</code> to register your expiry listener. Instead try to use <code>IMap::addLocalEntryListener</code> which will only be fired on the node currently owning the entry, which means you'll get one notification only.</p>	"
