thread_ID, Id, ParentId, PostType, Score, CreationDate, OwnerID, Body
40017860,40017860,null,1,2,Thu Oct 13 09:57:00 EDT 2016,7012677,"<p>Is it possible to stream video and audio from usb cam (RPi 3) to a RPi hosted web page to view on android tablet using a browser. Something like combining the Blinky server with USB Webcam samples of Windows 10 iot core? How would I get started with this, I`m totally new to RPi and programming?</p>	"
40017860,67356830,40017860,3,1,Fri Oct 14 10:11:00 EDT 2016,6601582,"RPi 3 with Windows 10 iot core can stream video from USB Webcam and can host a web server. And you can [transcode the video files from one format to another](https://msdn.microsoft.com/en-us/windows/uwp/audio-video-camera/transcode-media-files) that will be playing in a browser. The only one thing need to solve is how to send the stream to web page and present it."
