thread_ID, Id, ParentId, PostType, Score, CreationDate, OwnerID, Body
45141818,45141818,null,1,0,Mon Jul 17 10:29:00 EDT 2017,8282971,"<p>I'm new to Azure,</p>		<p>Can anybody please tel me in which format the data is being transferred from IoT device to IoT hub(device-to-cloud message)? I think it's in JSON.	Also where is the data being stored? Is it xVelocity?</p>	"
45141818,45156324,45141818,2,0,Tue Jul 18 02:06:00 EDT 2017,6601582,"<blockquote>	  <p>Can anybody please tel me in which format the data is being	  transferred from IoT device to IoT hub(device-to-cloud message)? I	  think it's in JSON.</p>	</blockquote>		<p>Yes, you are right.</p>		<blockquote>	  <p>Also where is the data being stored? Is it xVelocity?</p>	</blockquote>		<p>Device-to-cloud messages are retained in an IoT hub's default messages/events endpoint.</p>		<p>For more information you can reference "<a href="https://docs.microsoft.com/en-us/azure/iot-hub/iot-hub-devguide-messages-d2c" rel="nofollow noreferrer">Understand device to cloud messaging</a>"</p>	"
