thread_ID, Id, ParentId, PostType, Score, CreationDate, OwnerID, Body
46326784,46326784,null,1,0,Wed Sep 20 15:59:00 EDT 2017,3200534,"<p>I want to constantly send the outputs of the program <code>./airsensor -v</code> to Ubidots platform using their <code>curl -X POST</code> command on my Raspberry Pi.</p>		<hr>		<p>Sending <code>entropy_avail</code> number works.</p>		<p>Everytime I issue the following command, I get feedback in terminal and the values appear in Ubidots:</p>		<p><code>cat /proc/sys/kernel/random/entropy_avail | curl -X POST --data-urlencode value@- https://things.ubidots.com/api/v1.6/variables/[VARIABLE-ID]/values/?token=[TOKEN-ID]</code></p>		<hr>		<h2>Airsensor constantly (every ~ 15sec.) outputs a number:</h2>		<pre><code>./airsensor -v	450	453	452	457	</code></pre>		<hr>		<p>... now if I use the following command, it won't work. As it gives no feedback at the terminal at all. And also no values recieved at Ubidots.</p>		<p><code>./airsensor -v | curl -X POST --data-urlencode value@- https://things.ubidots.com/api/v1.6/variables/[VARIABLE-ID]/values/?token=[TOKEN-ID]</code></p>		<hr>		<p>Resources:</p>		<p><a href="https://ubidots.com/docs/#send-one-value-to-ubidots" rel="nofollow noreferrer">https://ubidots.com/docs/#send-one-value-to-ubidots</a></p>		<p><a href="https://github.com/tuxedo0801/usb-sensors-linux/blob/master/airsensor/airsensor.c" rel="nofollow noreferrer">https://github.com/tuxedo0801/usb-sensors-linux/blob/master/airsensor/airsensor.c</a></p>		<p><a href="https://github.com/tuxedo0801/usb-sensors-linux" rel="nofollow noreferrer">https://github.com/tuxedo0801/usb-sensors-linux</a></p>	"
46326784,46337465,46326784,2,0,Thu Sep 21 07:03:00 EDT 2017,1135424,"<p>Using <code>-d @-</code> makes curl read from standar input, you can test using this:</p>		<pre><code>echo "test $(date)" | curl -X POST -d @- http://httpbin.org/post	</code></pre>		<p>Or try to combine <code>stderr</code> &amp; <code>stdout</code> probably your app is only writing to <code>stderr</code></p>		<pre><code>./your-app 2&gt;&amp;1 | curl -X POST -d @- http://httpbin.org/post	</code></pre>		<p>Notice the <code>2&gt;&amp;1</code> that will redirect stderr to stdout</p>	"
46326784,79646815,46337465,3,0,Thu Sep 21 12:08:00 EDT 2017,3200534,"It didn't worked. I was given this command by Ubidots forum:  A=$(echo -e '10') && curl -X POST -d "value=$A" "http://things.ubidots.com/api/v1.6/variables/[VAR-ID]/values?token=[TOKEN]" .... If I try  A=$(echo -e ./airsensor -v) && curl -X POST -d "value=$A" "http://things.ubidots.com/api/v1.6/variables/[VAR-ID]/values?token=[TOKEN]" ... doesnt work and shows: {"value": ["A valid number is required."]}.  || How can I send the output of ./airsensor -v instead of the static number 10 ?"
46326784,79650816,46337465,3,0,Thu Sep 21 13:34:00 EDT 2017,1135424,"`curl` is working as expected problem seems to be the endpoint, test using httpbin.org as in the answer to just see what you are sending"
